Instrument,Growth_cluster_rank,Quality_cluster_rank,Value_cluster_rank,Momentum_cluster_rank,overall_rank
LUND-B,24.3,69.4,51.3,20.0,26.5
SAVE,65.3,93.6,10.9,65.4,72.9
ROKO-B,59.8,78.6,21.1,83.3,77.5
STOR-B,61.9,39.0,40.6,41.3,37.7
SAMPO-SDB,35.6,74.6,30.6,68.9,55.6
ALIF-B,72.1,57.7,5.2,77.2,57.3
ALVO-SDB,97.2,91.2,99.9,5.9,96.0
ASKER,78.8,45.3,9.6,90.5,66.1
AZN,68.3,96.5,17.7,17.6,49.4
BIOA-B,99.7,99.9,28.2,20.5,79.9
BIOT,7.0,79.5,27.9,67.0,36.2
BONEX,52.2,97.4,23.0,33.2,52.7
CAMX,90.9,98.6,29.3,59.2,91.7
EKTA-B,46.0,54.2,51.0,16.2,28.5
GETI-B,41.3,64.3,42.0,40.4,40.6
MCOV-B,85.5,45.4,1.2,89.7,64.4
SECT-B,40.0,90.2,11.2,95.3,74.0
SOBI,53.1,91.0,36.3,38.5,62.7
VIMIAN,66.0,69.1,12.6,46.4,44.9
VITR,38.4,72.4,30.2,9.5,19.1
ABB,57.6,87.6,9.1,59.3,58.2
ADDT-B,68.9,82.0,4.6,63.2,62.4
AFRY,30.8,55.2,57.6,29.3,31.3
ALFA,65.7,82.6,29.8,18.5,47.3
ASSA-B,41.8,79.3,18.5,27.6,28.1
ATCO-A,39.8,90.6,19.1,20.8,30.7
ATCO-B,39.8,90.6,28.7,17.5,33.5
BEIJ-B,69.3,66.0,12.2,42.7,42.5
BRAV,45.5,55.6,54.7,82.5,74.3
EPRO-B,53.9,72.0,16.9,68.5,56.6
ENGCON-B,63.8,92.6,13.1,20.3,42.1
EPI-A,61.6,85.7,14.0,46.7,54.2
EPI-B,61.6,85.7,15.9,43.3,53.3
INDT,53.0,77.4,9.8,22.5,24.9
LIFCO-B,69.7,89.6,7.5,64.2,71.0
LIAB,60.3,53.7,37.8,31.2,37.9
LOOMIS,57.0,66.2,42.5,82.3,79.6
MTRS,71.9,69.9,7.9,51.7,51.0
NCC-A,33.2,57.1,53.1,42.1,38.9
NCC-B,33.2,57.1,54.4,34.9,35.2
NIBE-B,44.4,57.9,11.4,44.0,22.1
NOLA-B,56.9,64.5,36.2,57.0,58.9
OEM-B,46.9,86.6,30.7,62.7,68.4
PEAB-B,29.5,54.1,47.1,36.6,28.4
SAAB-B,75.9,62.0,9.4,97.4,78.6
SAND,71.7,83.2,34.1,64.1,82.5
SECU-B,59.1,60.7,39.7,53.1,57.7
SKA-B,84.8,48.3,60.9,35.3,70.3
SWEC-A,57.8,76.5,21.5,44.3,49.5
SWEC-B,57.8,76.5,18.7,37.9,43.0
SYSR,26.6,70.8,25.3,64.6,39.8
8TRA,22.5,60.6,41.5,21.1,17.0
TREL-B,54.3,71.0,39.3,38.9,51.9
VOLV-A,26.3,73.7,22.8,37.6,24.0
VOLV-B,26.3,73.7,32.4,37.2,30.6
ALLEI,83.1,62.5,71.1,25.0,77.0
BILL,67.2,62.4,69.6,23.7,65.1
BOL,80.8,71.2,64.0,23.9,75.5
GRNG,70.2,63.2,52.3,43.1,70.2
HPOL-B,42.7,72.1,65.1,53.4,72.5
HOLM-A,51.7,66.4,72.7,13.1,52.4
HOLM-B,51.7,66.4,58.3,18.1,45.0
LUG,93.7,99.0,10.4,85.0,94.8
LUMI,88.8,57.3,17.0,84.7,79.4
SCA-A,53.6,72.7,71.9,16.6,59.2
SCA-B,53.6,72.7,58.6,15.3,49.7
SKF-A,39.4,66.9,63.3,72.1,77.1
SKF-B,39.4,66.9,59.4,74.8,76.1
SSAB-A,19.6,52.5,81.3,40.7,44.8
SSAB-B,19.6,52.5,81.9,39.7,44.4
STE-A,70.6,39.5,12.0,55.3,34.0
STE-R,70.6,39.5,20.3,58.0,40.9
TROAX,34.4,81.0,11.3,10.7,13.6
ASMDEE-B,79.3,50.5,21.2,72.9,65.9
ALIV-SDB,62.3,72.3,7.8,73.3,59.9
BETS-B,68.1,97.3,21.6,92.2,92.2
BILI-A,48.7,54.6,39.5,58.3,50.9
DOM,23.9,27.1,66.4,36.1,20.2
ELUX-A,50.6,32.2,8.5,39.0,11.5
ELUX-B,50.6,32.2,31.8,28.0,16.0
EMBRAC-B,27.3,83.0,85.0,10.9,53.2
EVO,48.5,99.6,57.2,54.0,84.8
FOI-B,14.5,56.7,13.9,8.1,4.9
HM-B,31.0,81.5,24.4,32.1,29.6
HUSQ-A,34.2,48.8,37.7,38.2,23.0
HUSQ-B,34.2,48.8,44.6,40.1,28.9
JM,22.5,40.4,24.2,45.0,12.1
MIPS,87.4,98.1,19.8,56.7,85.4
NEWA-B,65.4,83.6,45.3,85.5,92.3
THULE,49.6,83.1,27.6,46.9,53.6
VOLCAR-B,14.0,54.0,86.5,21.6,33.4
ANOD-B,17.7,63.8,8.3,84.9,32.2
BETCO,16.2,63.3,7.4,63.4,18.9
FNOX,80.3,97.7,11.1,88.4,91.2
HACK,86.6,99.7,32.6,75.5,96.2
HEXA-B,37.9,86.4,15.3,25.4,26.6
LAGR-B,72.2,85.5,3.9,65.9,69.3
MYCR,78.9,95.0,40.4,55.0,88.0
NCAB,29.0,72.5,18.2,43.5,25.6
SINCH,48.3,22.6,48.6,89.5,54.9
TIETOS,32.5,38.2,45.6,33.5,18.8
TRUE-B,51.3,98.7,14.3,62.2,68.2
VIT-B,60.9,77.2,9.9,44.8,43.9
YUBICO,52.0,98.0,36.9,6.2,44.1
ERIC-A,68.3,53.5,42.9,46.6,56.5
ERIC-B,68.3,53.5,44.5,47.0,57.9
HMS,70.3,88.5,6.6,34.6,49.2
TEL2-A,47.4,83.4,26.5,63.6,63.8
TEL2-B,47.4,83.4,22.0,64.8,61.5
TELIA,43.1,70.6,35.6,38.2,40.1
ENITY,54.5,96.3,3.6,1.7,21.4
NORION,76.9,63.0,75.0,96.0,98.2
TFBANK,73.8,67.1,43.2,38.0,64.7
APOTEA,77.6,37.8,9.0,52.8,33.9
CLA-B,67.8,68.9,43.9,87.8,87.5
DUNI,45.3,55.0,68.1,29.1,47.6
HUMBLE,30.7,44.7,73.7,17.8,27.7
SCST,49.0,62.9,27.2,80.5,62.9
EOLU-B,99.4,78.3,76.9,73.7,99.4
MER,99.0,29.5,52.0,1.3,36.4
ORRON,13.1,36.3,72.3,21.4,16.1
BESQAB,1.9,30.6,51.8,61.9,17.3
BESQAB-PREF-B,1.9,30.6,62.2,82.9,34.1
BRIN-B,56.7,82.0,50.8,28.2,61.6
CIBUS,83.9,84.0,12.1,83.7,85.7
DIOS,34.6,81.3,49.3,50.2,59.7
EAST,94.9,90.0,6.5,81.1,89.3
EMIL-B,86.0,91.4,33.6,89.6,97.2
EMIL-PREF,86.0,91.4,60.6,78.1,98.5
GPG,88.6,78.8,35.2,23.6,68.0
HEBA-B,90.8,77.5,25.5,60.2,83.1
INTEA-B,72.7,88.8,11.8,95.8,87.9
INTEA-D,72.7,88.8,58.5,73.8,95.9
JOMA,81.5,85.2,30.0,69.6,86.8
KFAST-B,84.9,50.9,25.9,54.7,60.9
KLARA-B,86.9,79.8,45.4,62.0,90.0
LOGI-A,59.1,90.9,25.7,75.4,81.4
LOGI-B,59.1,90.9,22.2,76.8,80.4
NEOBO,43.2,44.2,57.9,49.7,45.7
NIVI-B,49.8,94.5,33.9,64.3,77.3
PLAZ-B,46.7,78.9,43.6,58.2,69.2
PRISMA,77.3,82.5,48.4,66.6,90.2
SBB-B,11.4,39.2,68.8,73.2,43.7
SBB-D,11.4,39.2,67.8,71.4,42.3
STEF-B,79.8,88.0,32.2,57.3,84.1
SFAST,33.2,79.9,41.0,66.2,63.4
SVEAF,91.5,46.9,50.3,83.1,89.1
SLP-B,80.3,92.8,21.3,85.6,92.5
TRIAN-B,78.0,77.7,36.4,33.9,67.9
CAT-A,15.6,27.3,36.8,28.8,6.9
CAT-B,15.6,27.3,42.7,46.2,12.0
CS,45.0,87.9,61.4,91.7,94.1
CRED-A,,98.8,78.2,42.9,95.8
FLERIE,2.8,20.5,95.4,45.8,26.1
HOFI,48.8,87.5,41.7,43.9,64.6
INTRUM,34.7,35.6,48.2,99.4,61.9
LINC,,93.1,77.0,57.8,98.0
RATO-A,71.3,56.2,52.8,75.9,83.8
RATO-B,71.3,56.2,54.1,84.3,86.7
RESURS,85.8,33.1,85.4,86.1,95.3
SVOL-A,8.7,68.1,47.3,9.1,12.7
SVOL-B,8.7,68.1,70.5,41.8,41.3
TRAC-B,7.2,96.7,76.1,52.9,72.2
VEFAB,61.2,16.4,71.0,52.0,50.0
VNV,,18.5,61.8,38.6,22.8
ORES,15.1,94.2,90.8,69.7,88.5
AMBEA,55.8,62.7,20.6,76.0,59.5
ARJO-B,36.5,62.3,47.7,54.4,50.7
ATT,77.6,59.7,18.9,79.8,73.4
BACTI-B,55.5,48.8,12.9,12.5,11.0
BICO,17.3,36.2,82.1,57.5,44.1
BIOG-B,29.7,95.9,10.0,50.3,39.3
BINV,97.5,40.9,84.0,62.5,93.6
CEVI,74.0,96.0,30.3,31.8,71.7
CINPHA,,36.6,89.2,39.2,63.3
HNSA,73.6,31.4,96.0,54.6,83.4
HUM,78.3,49.4,51.8,33.1,57.7
MCAP,46.9,90.3,17.3,70.1,66.6
RAY-B,84.1,98.2,7.0,95.9,94.0
SEDANA,71.9,41.8,92.6,22.1,69.9
XVIVO,71.1,81.0,38.8,7.6,48.5
ALIG,62.5,70.2,29.9,87.2,80.7
AQ,43.5,84.7,34.6,77.3,75.7
BERG-B,56.1,44.4,8.2,29.9,14.1
BTS-B,30.5,86.6,38.4,35.8,43.1
BUFAB,60.4,71.9,23.1,59.6,59.3
AJA-B,,75.3,42.4,65.0,77.8
CCC,10.6,64.2,6.1,33.4,8.2
COOR,36.0,46.8,24.9,90.1,48.0
CTT,5.4,97.8,29.1,52.4,38.4
ELAN-B,37.9,37.8,72.0,27.2,32.7
EPEN,23.3,76.7,22.9,51.9,32.4
EWRK,14.0,54.3,49.2,7.4,9.9
FAG,18.6,56.5,58.8,26.7,24.2
FG,65.8,53.1,70.4,55.0,78.1
FMM-B,69.5,68.4,60.3,86.0,93.4
GREEN,22.0,70.7,22.6,41.7,22.0
HANZA,61.2,59.3,14.4,91.8,68.3
INSTAL,24.5,65.0,39.1,15.9,16.6
IVSO,40.2,95.4,15.0,59.9,56.1
INWI,77.8,65.3,39.9,73.0,83.5
ITAB,50.8,53.3,38.0,58.7,50.5
KAR,55.0,50.6,6.4,94.0,52.9
MILDEF,89.7,44.0,6.0,60.3,49.2
MMGR-B,59.4,85.2,5.7,32.0,37.0
NMAN,32.0,69.2,27.6,25.3,20.7
NOTE,42.5,66.6,44.7,90.6,78.3
PCELL,88.1,24.3,81.5,31.6,67.5
REJL-B,56.5,68.8,40.1,81.8,79.3
SDIP-B,33.8,65.5,28.9,38.8,27.9
SDIP-PREF,33.8,65.5,63.1,64.8,68.7
VOLO,86.4,67.3,8.8,53.7,60.7
VOLO-PREF,86.4,67.3,20.6,71.8,79.2
XANO-B,81.7,51.7,24.3,82.1,75.2
ARISE,12.0,84.4,77.2,34.1,53.8
ARP,19.2,38.6,84.7,7.1,18.6
BEIA-B,58.6,75.6,16.4,90.9,76.9
NPAPER,58.2,91.8,54.5,97.9,97.6
RROS,30.3,35.6,86.9,0.6,20.1
VISC,89.9,51.5,90.9,12.2,78.4
ACAD,64.2,63.6,35.2,79.5,77.3
ALLIGO-B,37.2,59.5,34.7,16.3,17.9
BHG,64.3,24.2,53.4,45.4,39.8
BONAV-A,22.0,21.5,38.9,87.0,30.3
BONAV-B,22.0,21.5,38.5,91.1,31.5
BOOZT,69.9,63.7,52.1,9.9,46.8
BMAX,57.4,50.1,23.3,64.4,46.1
CLAS-B,76.3,86.3,8.1,93.5,86.1
G2M,22.9,84.1,55.4,2.4,26.3
KABE-B,16.3,52.3,59.2,30.3,22.5
MEKO,48.4,61.9,59.0,12.8,36.7
MTG-A,93.2,58.8,62.4,82.8,96.9
MTG-B,93.2,58.8,55.9,84.5,95.7
NOBI,29.9,23.1,27.0,78.5,22.6
PRFO,15.2,97.6,67.1,14.1,44.6
RVRC,38.1,94.9,56.5,37.7,68.7
RUSTA,66.2,77.0,7.7,39.5,42.7
SHOT,46.4,75.4,16.5,86.9,67.1
SKIS-B,37.0,92.7,19.5,21.3,30.9
SF,22.7,26.6,76.5,49.2,33.0
SYNSAM,67.6,89.0,29.6,82.4,87.7
VBG-B,19.9,73.1,56.8,30.4,35.7
VESTUM,25.8,47.3,63.2,47.4,38.1
CINT,37.4,55.4,15.6,48.4,21.9
DUST,50.0,17.0,73.9,34.4,33.1
DYVOX,88.7,93.5,1.8,94.2,91.8
ENEA,55.9,86.2,72.2,31.7,79.0
IAR-B,26.8,88.6,37.3,24.0,33.7
KNOW,23.7,36.1,54.6,15.3,11.2
LIME,66.9,91.7,5.5,77.3,76.7
PRIC-B,14.2,62.8,78.9,3.2,23.1
PACT,38.6,64.7,37.2,13.5,20.6
HTRO,66.7,67.8,53.8,17.3,52.6
NETI-B,15.8,74.3,49.0,50.1,41.5
VPLAY-A,26.3,22.4,30.9,51.2,11.8
VPLAY-B,26.3,22.4,72.4,57.9,34.9
MSON-A,25.2,42.5,56.0,67.9,43.2
MSON-B,25.2,42.5,77.8,49.4,45.5
CTEK,28.6,49.5,40.2,63.8,36.6
MAHA-A,36.8,42.0,83.0,16.8,34.5
ACRI-A,81.9,80.2,63.8,80.2,98.1
ACRI-B,81.9,80.2,65.4,89.2,98.6
ANNE-B,41.5,74.2,55.0,50.7,63.9
FASTAT,6.0,23.8,65.7,8.3,5.9
K2A-B,38.8,46.6,31.2,29.6,17.4
K2A-PREF,38.8,46.6,31.3,35.3,19.4
HAV-B,99.2,71.5,84.1,67.3,99.0
MANG,24.4,57.5,16.8,61.3,23.9
NAXS,99.6,85.9,93.8,51.0,99.6
QLIRO,52.6,21.2,45.0,78.7,47.7
SEAF,29.5,31.8,63.6,35.0,23.8
STWK,38.4,55.1,70.0,68.0,71.4
SFAB,28.2,95.8,69.1,57.1,80.9
ACTI,,4.3,45.5,67.7,21.7
ATORX,0.6,5.4,98.7,51.3,21.2
ACE,,6.8,54.0,81.3,41.8
BOUL,12.7,38.7,39.4,61.5,19.7
CRAD-B,41.5,89.4,52.9,89.2,89.6
CANTA,,4.9,57.1,23.2,7.9
CARA,82.7,49.2,43.3,94.6,88.4
DEDI,19.8,54.8,84.5,21.9,35.9
EGTX,51.3,28.1,23.5,67.5,30.8
EPIS-B,92.2,5.2,87.6,5.6,42.8
EQL,91.6,85.4,3.4,88.1,87.6
IMMNOV,23.9,30.3,80.0,39.8,31.8
IBT-B,,10.1,13.8,28.6,2.6
IRLAB-A,,1.3,20.4,1.0,0.5
ISOFOL,,10.4,78.8,3.1,9.5
KDEV,67.5,58.2,96.7,55.5,91.4
MVIR,75.4,8.7,83.6,7.2,32.7
IMMU,5.0,17.3,93.6,79.5,46.3
MOB,97.9,31.7,96.3,59.0,93.6
NICA,95.5,1.5,55.7,10.0,24.8
ONCO,96.7,45.1,95.7,26.8,86.3
ORX,51.3,42.8,96.5,78.8,88.1
QLINEA,95.4,3.3,67.6,36.8,51.8
SANION,92.5,100.0,58.0,97.6,100.0
SEZI,94.7,11.6,84.4,53.9,78.5
SYNACT,,10.9,80.7,79.3,69.4
VICO,0.3,43.0,81.7,19.3,16.5
VIVE,,15.6,89.6,30.0,35.8
XBRANE,98.2,30.4,40.8,69.1,74.6
XSPRAY,,11.5,74.4,96.8,77.8
ARPL,64.4,67.5,56.2,73.6,85.3
BALCO,35.3,29.2,69.8,45.8,35.4
BERNER-B,60.0,71.1,17.2,88.8,74.2
BONG,18.8,30.1,74.5,59.4,37.7
CNCJO-B,24.1,33.6,70.7,41.1,30.4
ELTEL,34.0,38.9,5.3,98.5,33.7
FNM,46.4,22.4,58.9,41.5,30.0
HAKI-A,59.6,51.3,33.8,44.5,41.5
HAKI-B,59.6,51.3,46.7,28.4,39.5
IS,44.8,65.3,72.6,48.7,71.1
INFREA,82.4,37.0,61.0,94.9,90.3
INISS-B,7.4,57.4,44.1,50.4,23.5
KARNEL-B,91.1,75.8,32.5,84.0,93.1
MEAB-B,23.1,34.4,78.3,30.2,27.0
NETEL,46.2,49.7,71.6,24.8,43.4
NGS,17.6,9.7,77.5,28.1,12.5
PION-B,14.9,11.9,70.2,30.7,10.6
PENG-B,11.6,61.5,76.3,93.6,77.6
RAIL,40.3,78.1,32.9,46.4,47.8
SINT,44.5,98.5,55.5,75.5,89.9
SVIK,56.3,43.7,19.4,94.1,58.1
SVED-B,52.6,78.0,41.9,81.1,82.9
TRANS,74.8,54.8,55.0,39.4,66.0
WTW-A,21.5,51.9,62.8,16.0,19.6
WISE,13.8,29.4,29.6,44.7,8.4
WBGR-B,85.2,16.0,75.2,18.7,45.9
BEGR,18.6,26.0,79.4,20.9,16.8
DURC-B,73.5,45.5,63.7,47.1,70.7
NORB-B,62.8,41.6,62.5,31.1,48.2
PROF-B,75.9,65.0,64.6,98.3,97.8
ATIC,55.2,60.9,4.9,74.6,46.7
BORG,75.2,88.4,47.2,76.6,94.4
BULTEN,12.9,44.5,70.5,48.0,33.2
CTM,6.8,18.3,77.6,15.0,8.6
ELON,47.1,38.0,67.4,57.6,56.0
EG7,58.4,44.7,85.6,81.5,88.8
ENRO,75.4,73.9,88.0,58.8,96.7
G5EN,12.4,92.5,86.7,36.5,69.8
LAMM-B,40.8,29.7,72.8,71.2,58.6
MOMENT,49.2,34.1,2.5,51.6,13.6
NELLY,65.1,92.2,15.2,75.7,79.8
NIL-B,49.4,82.9,50.1,70.3,82.4
PIERCE,66.2,41.2,68.4,48.5,66.2
STAR-A,74.3,2.2,89.7,58.5,66.8
STAR-B,74.3,2.2,91.4,27.3,46.1
ANOT,5.2,18.8,86.2,30.6,14.8
B3,67.2,64.0,48.8,32.5,57.4
FING-B,94.9,2.6,95.3,17.1,55.8
FPIP,82.6,61.1,35.9,71.5,81.4
GARO,25.5,34.8,41.1,26.2,10.5
MSAB-B,43.4,98.3,28.6,61.7,71.6
SAFETY-B,63.6,39.9,34.2,84.1,64.2
NTEK-B,41.1,96.4,50.6,90.4,91.9
PREC,26.9,42.5,85.7,13.9,29.8
PREV-B,37.5,71.7,66.6,43.0,62.5
SGG,78.1,43.2,67.0,14.6,51.6
SIVE,90.4,40.3,89.1,40.6,85.0
SLEEP,58.7,96.9,57.7,11.6,66.9
SOF-B,42.4,76.3,78.0,55.6,81.8
TOBII,79.3,47.7,68.6,99.6,96.5
TRAD,76.5,37.6,79.7,66.8,85.2
DORO,66.5,81.2,71.4,68.8,94.6
OVZON,84.4,23.3,14.6,98.6,63.7
LEA,45.2,52.7,94.3,20.4,57.7
CHEF,84.4,58.1,66.2,93.1,97.3
VIVA,27.1,56.9,51.5,53.3,41.1
CLIME-B,4.9,1.8,94.7,52.2,20.3
HEXI,99.3,12.8,93.4,21.9,69.1
MIDS,8.9,10.7,39.8,45.3,6.4
AGROUP,22.0,19.6,85.2,10.3,13.4
FNOVA-B,43.9,76.0,49.9,61.6,71.2
STUDBO,62.8,82.4,59.9,75.1,92.6
NAVIGO-STAM,45.7,31.1,91.5,40.9,55.0
NAVIGO-PREF,45.7,31.1,69.7,87.9,72.6
VER,40.6,69.7,4.0,15.7,11.4
ACARIX,64.7,33.2,2.6,94.9,46.4
ADDV-A,29.2,73.5,52.5,8.7,26.0
ADDV-B,29.2,73.5,59.3,19.6,36.3
ALZCUR,,3.6,50.7,70.6,27.2
BIOVIC-B,78.6,32.7,80.9,25.2,61.3
DVYSR,58.4,37.2,17.8,86.4,49.0
IMP-A-SDB,80.6,15.1,71.3,74.3,76.6
KAN,,9.1,52.7,86.6,48.1
NANOFS,89.0,41.3,35.0,56.2,64.1
PTRK,35.3,17.9,45.8,72.5,31.2
SPEC,,16.8,94.5,0.9,18.6
SPRINT,14.6,17.4,42.2,14.0,4.2
BYGGP,64.9,50.3,53.3,76.4,78.9
KBC,71.5,61.4,24.9,51.5,55.4
NYAB,93.4,60.3,22.0,49.6,67.3
QBEN,,14.0,55.8,14.8,7.7
QAIR,20.4,49.9,58.1,89.9,62.1
QSYS,45.9,92.3,55.0,66.0,84.7
SALT-B,0.4,1.9,28.5,65.7,5.4
TAGM-B,42.8,52.9,35.8,47.6,35.0
TSEC,66.8,8.4,23.4,36.8,12.9
NEXAM,27.6,35.9,43.7,80.6,40.3
AGES-B,11.7,20.2,40.7,31.3,6.0
DRIL,29.9,80.1,67.5,46.1,65.5
GRANGX,83.1,31.4,0.3,96.4,56.4
ACROUD,47.6,41.0,36.0,3.9,10.7
BOKUS,60.1,51.8,66.8,91.4,88.6
EMBELL,56.7,87.3,66.1,60.5,89.0
LYKO-A,83.5,55.8,5.1,75.2,63.0
MAGI,23.5,51.2,82.6,95.1,82.0
PDX,40.4,95.1,26.9,43.6,52.9
RAKE,5.6,20.8,71.6,29.0,10.2
RUG,70.4,77.1,46.0,82.7,90.7
THUNDR,19.0,22.8,90.4,10.4,15.8
ZZ-B,89.1,80.6,16.3,99.0,93.9
4C,75.7,47.1,46.2,70.9,75.5
ACAST,83.4,37.0,83.7,36.1,75.8
ADVE,93.0,89.8,8.5,95.4,94.2
AVEN,84.2,76.2,28.1,87.5,90.5
BRIGHT,8.2,3.1,92.3,0.5,6.3
CAG,39.6,66.8,61.6,67.1,72.8
CX,49.6,61.3,60.5,92.4,85.8
DEVP-B,10.7,60.3,86.0,6.8,25.8
DIST,11.1,24.7,69.3,14.2,8.8
FRACTL,50.9,69.6,50.5,93.7,86.6
FREJA,79.9,28.8,98.0,69.8,90.9
GIG-SDB,62.1,33.8,70.9,93.2,84.9
MNTC,75.0,46.0,34.3,7.6,25.2
ONEF,79.6,5.8,75.8,6.0,28.1
PRCO-B,12.1,43.1,65.5,35.9,21.5
TERRNT-BTU-B,,,,,
TERRNT-B,92.7,4.5,9.5,67.7,32.0
AAC,43.7,48.2,57.0,99.1,79.6
GOMX,92.9,10.6,20.9,100.0,66.4
AGTIRA-B,96.2,8.1,54.2,93.3,81.7
ARCTIC,67.9,17.5,98.4,24.3,54.3
DUG,98.6,16.2,16.1,72.0,51.6
HAYPP,74.5,53.2,23.9,98.1,80.6
HERNO-B,,14.0,,86.3,50.0
HIGHCO-B,,14.0,,92.0,56.9
INT,94.3,99.1,56.3,92.3,99.9
NNH,63.1,52.2,64.9,71.1,81.6
NICO,91.4,19.3,59.6,47.5,61.8
SNX,79.1,71.6,10.1,68.7,70.6
SIMRIS-B,3.0,18.5,100.0,97.0,62.3
SKMO,18.0,57.8,15.7,71.0,24.7
SECARE,44.1,56.4,32.0,68.4,50.7
AEC,,15.5,3.1,11.4,1.0
CIRCLE-B,,14.0,,27.5,3.8
META,98.3,0.6,80.5,93.8,89.8
MINEST,28.0,27.8,48.9,99.2,52.1
STW,3.0,50.8,79.2,99.9,72.2
SNM,92.1,97.2,4.8,83.6,91.3
SOLT,24.8,22.1,81.0,14.5,15.5
ALM,69.1,16.0,83.2,6.2,32.1
ALM-PREF,69.1,16.0,85.8,78.1,80.3
ATIN,1.7,26.8,90.1,10.1,10.9
BOHO,8.4,20.0,16.0,30.9,2.9
BOHO-PREF,8.4,20.0,11.6,50.8,4.6
BONAS,49.2,62.1,44.9,11.3,28.6
DOXA,5.7,43.4,73.2,24.6,17.6
HEIM-PREF,42.1,79.1,79.8,88.6,95.1
KAPIAB,54.7,96.2,65.3,84.2,97.1
LINKAB,13.5,67.6,45.8,39.3,27.1
SOLNA,55.2,84.5,73.3,81.6,96.4
TINGS-A,72.7,87.0,51.3,45.2,83.6
TINGS-B,72.7,87.0,53.6,50.6,85.9
TINGS-PREF,72.7,87.0,33.2,91.0,93.2
TITA-B,84.7,96.8,65.1,73.4,98.7
ALPCOT-B,93.6,54.5,83.1,96.7,99.2
BMC,58.0,79.7,1.3,97.3,73.8
CASE,89.3,81.6,74.3,68.3,98.3
FIRST-B,,23.0,95.2,80.0,86.2
FLAT-B,,99.5,51.1,60.5,93.0
MTI,6.6,35.2,1.4,67.4,7.5
NAIG-B,,20.7,94.1,32.3,47.1
NFGAB,52.6,27.0,18.3,29.6,10.4
SFL,42.1,25.8,19.6,56.1,16.4
YIELD,20.2,33.4,53.7,34.0,15.1
VH,2.4,49.1,30.8,66.4,18.3
WRV,,7.8,94.9,19.6,25.4
2CUREX,3.5,4.2,1.7,85.1,5.0
ACOU,22.0,22.9,47.9,3.6,5.2
AINO,79.5,6.9,99.7,54.8,76.5
ALZ,95.7,37.5,89.9,2.8,67.8
ANNX,,4.1,15.1,5.5,0.6
ARCOMA,14.8,79.1,62.7,26.1,37.3
BIOSGN,,10.2,78.4,55.7,43.5
BRAIN,77.1,11.1,6.9,26.4,9.1
CRNO-B,12.3,29.9,33.7,81.9,22.4
CMH,31.2,28.5,83.4,19.9,25.3
CMH-PREF,31.2,28.5,96.3,3.5,23.7
CLS-B,88.3,16.6,91.8,19.4,60.6
CLBIO,4.0,29.0,37.5,77.7,18.2
DMYD-B,,8.8,19.0,18.6,1.8
DICOT,,5.9,3.3,83.8,9.7
ELIC,0.7,40.5,3.0,94.7,14.3
ELN,36.1,32.5,56.5,13.2,13.9
ERMA,,2.8,2.0,41.5,1.7
ENZY,83.9,23.9,81.8,26.3,60.5
EXPRS2,94.4,19.7,87.6,55.8,84.3
